"created_at","id","id_str","text","truncated","entities:hashtags:text","entities:hashtags:indices","entities:symbols","entities:user_mentions","entities:urls:url","entities:urls:expanded_url","entities:urls:display_url","entities:urls:indices","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:url:urls:url","user:entities:url:urls:expanded_url","user:entities:url:urls:display_url","user:entities:url:urls:indices","user:entities:description:urls","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo:type","geo:coordinates","coordinates:type","coordinates:coordinates","place:id","place:url","place:place_type","place:name","place:full_name","place:country_code","place:country","place:contained_within","place:bounding_box:type","place:bounding_box:coordinates","place:attributes","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","lang"
"Thu Aug 10 21:02:12 +0000 2017",895752160989683713,"895752160989683713","We're #hiring! Click to apply: Senior Unified Communication Analyst - https://t.co/ffh8X6SSr1 #IT #Chicago, IL #Job #Jobs",FALSE,"hiring","6","()","()","https://t.co/ffh8X6SSr1","http://bit.ly/2vJq1ve","bit.ly/2vJq1ve","70","en","recent","<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",NA,NA,NA,NA,NA,20831135,"20831135","TMJ - CHI IT Jobs","tmj_chi_it","Chicago, IL","Follow this account for geo-targeted Software Dev. - General/IT job tweets in Chicago, IL. Need help? Tweet us at @CareerArc!","https://t.co/DByWt45HZj","https://t.co/DByWt45HZj","http://www.careerarc.com/job-seeker","careerarc.com/job-seeker","0","()",FALSE,619,332,228,"Sat Feb 14 04:27:04 +0000 2009",0,-14400,"Eastern Time (US & Canada)",TRUE,FALSE,519,"en",FALSE,FALSE,FALSE,"253956","http://pbs.twimg.com/profile_background_images/315565126/Twitter-BG_2_bg-image.jpg","https://pbs.twimg.com/profile_background_images/315565126/Twitter-BG_2_bg-image.jpg",FALSE,"http://pbs.twimg.com/profile_images/668676281483988992/8XnXECAS_normal.jpg","https://pbs.twimg.com/profile_images/668676281483988992/8XnXECAS_normal.jpg","https://pbs.twimg.com/profile_banners/20831135/1448259825","4A913C","000000","407DB0","000000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none","Point","41.8781136","Point","-87.6297982","1d9a5370a355ab0c","https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json","city","Chicago","Chicago, IL","US","United States","()","Polygon","#(#(-87.940033 41.644102) #(-87.523993 41.644102) #(-87.523993 42.0230669) #(-87.940033 42.0230669))",(),NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Thu Aug 10 21:02:06 +0000 2017",895752137505951745,"895752137505951745","RT @LentiSoup: Ep 3 of #Gamers_Anime is live! I join the show as Chiaki. It's about friendship! ...and strong opinions on games. 😂🎮 https:/…",FALSE,"Gamers_Anime","23","()","((screen_name . LentiSoup) (name . Marissa Lenti) (id . 1873469676) (id_str . 1873469676) (indices . #(3 13)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,451853450,"451853450","Nina Academia","MercerMage","Tennessee, USA","Anime, Harry Potter, GOT, DC, & Marvel nerd. Symphonic/Gothic metal head. Not a gamer.",NA,NA,NA,NA,NA,"()",FALSE,141,331,4,"Sun Jan 01 03:32:30 +0000 2012",258810,-18000,"Central Time (US & Canada)",FALSE,FALSE,144026,"en",FALSE,FALSE,FALSE,"0A0A0A","http://pbs.twimg.com/profile_background_images/721097092077367297/_Ye4GJuQ.jpg","https://pbs.twimg.com/profile_background_images/721097092077367297/_Ye4GJuQ.jpg",TRUE,"http://pbs.twimg.com/profile_images/892183708748349440/CBTGzP7V_normal.jpg","https://pbs.twimg.com/profile_images/892183708748349440/CBTGzP7V_normal.jpg","https://pbs.twimg.com/profile_banners/451853450/1501567635","F58EA8","FFFFFF","000000","222222",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,5,0,FALSE,FALSE,NA,"en"
"Thu Aug 10 21:02:06 +0000 2017",895752137417920518,"895752137417920518","Communication is 🔑",FALSE,NA,NA,"()","()",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,1005513114,"1005513114","Paul Ellis","Kingls89","","LOVE GOD, LOVE FITNESS, LOVE FASHION, LOVE PURPLE.",NA,NA,NA,NA,NA,"()",FALSE,136,110,4,"Wed Dec 12 04:04:24 +0000 2012",901,NA,NA,TRUE,FALSE,3724,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/620312801781792768/JQ5I3SwG_normal.jpg","https://pbs.twimg.com/profile_images/620312801781792768/JQ5I3SwG_normal.jpg","https://pbs.twimg.com/profile_banners/1005513114/1392361356","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Thu Aug 10 21:01:56 +0000 2017",895752096800223236,"895752096800223236","RT @ohgirIquotes: look how easy that is!! all u have to do is communicate with me. communication is the key. https://t.co/EUWnxKf7DN",FALSE,NA,NA,"()","((screen_name . ohgirIquotes) (name . Girl Quotes ღ) (id . 875607744) (id_str . 875607744) (indices . #(3 16)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,1591820514,"1591820514","Bri🍍","BriFite","Dallas, TX","",NA,NA,NA,NA,NA,"()",FALSE,2820,3340,9,"Sat Jul 13 21:12:57 +0000 2013",36892,NA,NA,TRUE,FALSE,33761,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/895430533295034368/Komxky2v_normal.jpg","https://pbs.twimg.com/profile_images/895430533295034368/Komxky2v_normal.jpg","https://pbs.twimg.com/profile_banners/1591820514/1502322252","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,101041,0,FALSE,FALSE,FALSE,"en"
"Thu Aug 10 21:01:53 +0000 2017",895752081432334337,"895752081432334337","@jochmann Common acceptance of structured rounds of communication, good faith participation, good mentoring may suc… https://t.co/fTB6dhbnAF",TRUE,NA,NA,"()","((screen_name . jochmann) (name . Jakob Jochmann) (id . 200958963) (id_str . 200958963) (indices . #(0 9)))","https://t.co/fTB6dhbnAF","https://twitter.com/i/web/status/895752081432334337","twitter.com/i/web/status/8…","117","en","recent","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",895751334611345409,"895751334611345409",17071737,"17071737","roundtrip",17071737,"17071737","Greg Lloyd","roundtrip","Providence RI","President and co-founder Traction Software Inc.
Everything is deeply intertwingled. ― Ted Nelson","http://t.co/Dj96IQk4O2","http://t.co/Dj96IQk4O2","http://www.TractionSoftware.com","TractionSoftware.com","0","()",FALSE,1975,1625,367,"Thu Oct 30 19:09:30 +0000 2008",177686,-14400,"Eastern Time (US & Canada)",TRUE,FALSE,54529,"en",FALSE,FALSE,FALSE,"9AE4E8","http://pbs.twimg.com/profile_background_images/153234522/STRETCHConsole1961-lc.jpg","https://pbs.twimg.com/profile_background_images/153234522/STRETCHConsole1961-lc.jpg",TRUE,"http://pbs.twimg.com/profile_images/473140472580280320/YvbpXG6s_normal.jpeg","https://pbs.twimg.com/profile_images/473140472580280320/YvbpXG6s_normal.jpeg","https://pbs.twimg.com/profile_banners/17071737/1398359898","0084B4","0084B4","E2E5E0","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","7b93be1d864cedbb","https://api.twitter.com/1.1/geo/id/7b93be1d864cedbb.json","city","Providence","Providence, RI","US","United States","()","Polygon","#(#(-71.4741855 41.772455) #(-71.369479 41.772455) #(-71.369479 41.861713) #(-71.4741855 41.861713))",(),NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Thu Aug 10 21:01:51 +0000 2017",895752073236688897,"895752073236688897","The 3 Communication Stances https://t.co/7im58UAnRj",FALSE,NA,NA,"()","()","https://t.co/7im58UAnRj","http://bit.ly/2sVOCIJ","bit.ly/2sVOCIJ","28","en","recent","<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>",NA,NA,NA,NA,NA,80409992,"80409992","Dr. Julie Hanks","DrJulieHanks","Salt Lake City, UT","Therapist, Social Worker, Life Coach, Private Practice Biz Consultant, Author #assertivenessguide, Mormon cultural commentator, blogger. Vibrant solutions!","https://t.co/f9rkLmb6m4","https://t.co/f9rkLmb6m4","http://www.DrJulieHanks.com","DrJulieHanks.com","0","()",FALSE,13351,9837,404,"Tue Oct 06 21:40:00 +0000 2009",2808,-21600,"Mountain Time (US & Canada)",TRUE,FALSE,27455,"en",FALSE,FALSE,FALSE,"F8E790","http://pbs.twimg.com/profile_background_images/368073710/tw-final.jpg","https://pbs.twimg.com/profile_background_images/368073710/tw-final.jpg",FALSE,"http://pbs.twimg.com/profile_images/828495312545124353/o-1lFw40_normal.jpg","https://pbs.twimg.com/profile_images/828495312545124353/o-1lFw40_normal.jpg","https://pbs.twimg.com/profile_banners/80409992/1437454370","789C46","EEEEEE","C4EBF0","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Thu Aug 10 21:01:48 +0000 2017",895752061563883521,"895752061563883521","RT @ohgirIquotes: look how easy that is!! all u have to do is communicate with me. communication is the key. https://t.co/EUWnxKf7DN",FALSE,NA,NA,"()","((screen_name . ohgirIquotes) (name . Girl Quotes ღ) (id . 875607744) (id_str . 875607744) (indices . #(3 16)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,715220770474049536,"715220770474049536","greiciela 🌶","greiciela_","","✨🙏🏻",NA,NA,NA,NA,NA,"()",FALSE,157,80,0,"Wed Mar 30 16:54:54 +0000 2016",2894,-25200,"Pacific Time (US & Canada)",FALSE,FALSE,3075,"pt",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/889278231605587969/Z_pXKbCo_normal.jpg","https://pbs.twimg.com/profile_images/889278231605587969/Z_pXKbCo_normal.jpg","https://pbs.twimg.com/profile_banners/715220770474049536/1499467189","981CEB","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,101041,0,FALSE,FALSE,FALSE,"en"
"Thu Aug 10 21:01:45 +0000 2017",895752050335768579,"895752050335768579","RT @sir_smileey: Who remembers this song? 
African Independent Television 
A I T
A I T
Daar communication 
Ogbongeh TV.

Mama Papa o... A I…",FALSE,NA,NA,"()","((screen_name . sir_smileey) (name . Sir Smiley) (id . 100018381) (id_str . 100018381) (indices . #(3 15)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,138090896,"138090896","`","yhurDreamGuy","","16BARS 🎭 | IamHearty™",NA,NA,NA,NA,NA,"()",FALSE,2699,992,17,"Wed Apr 28 16:02:59 +0000 2010",947,-28800,"Alaska",FALSE,FALSE,112154,"en",FALSE,FALSE,FALSE,"FFFFFF","http://pbs.twimg.com/profile_background_images/602376459/dock-moon.jpg","https://pbs.twimg.com/profile_background_images/602376459/dock-moon.jpg",FALSE,"http://pbs.twimg.com/profile_images/880174429409562627/U9R0-FPI_normal.jpg","https://pbs.twimg.com/profile_images/880174429409562627/U9R0-FPI_normal.jpg","https://pbs.twimg.com/profile_banners/138090896/1498288534","ABB8C2","C9B06D","5C2B1E","D6C678",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,177,0,FALSE,FALSE,NA,"en"
"Thu Aug 10 21:01:44 +0000 2017",895752045873033217,"895752045873033217","RT @UrbanCulture06: Away from Toke Makinwa's opinion, how about your opinion concerning mode of communication in relationship.
Vote and Ret…",FALSE,NA,NA,"()","((screen_name . UrbanCulture06) (name . Made In Ibadan) (id . 1245828488) (id_str . 1245828488) (indices . #(3 18)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,844897410954510338,"844897410954510338","Finanie","ChubbyMeggyboo","Far from negativity.","Everything good will come",NA,NA,NA,NA,NA,"()",FALSE,805,562,0,"Thu Mar 23 13:03:35 +0000 2017",5135,NA,NA,FALSE,FALSE,5021,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/895700299263995908/JN4uAM_B_normal.jpg","https://pbs.twimg.com/profile_images/895700299263995908/JN4uAM_B_normal.jpg","https://pbs.twimg.com/profile_banners/844897410954510338/1502013884","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,182,0,FALSE,FALSE,NA,"en"
"Thu Aug 10 21:01:44 +0000 2017",895752045663326208,"895752045663326208","Lack of communication just means they don't like you enough",FALSE,NA,NA,"()","()",NA,NA,NA,NA,"en","recent","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",NA,NA,NA,NA,NA,866690191859359744,"866690191859359744","Kingkha","_Kingkha","NJ✈NY Queens Brooklyn ","24 Street Photographer ℒiνε ℒºνε ℒife New Page NJ✈NY Queens Brooklyn Nigga any how Employed getting to this money 💰Name me 🤴🏽",NA,NA,NA,NA,NA,"()",FALSE,35,137,0,"Mon May 22 16:20:18 +0000 2017",3,NA,NA,TRUE,FALSE,150,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/877813085142208513/q7UV54Cg_normal.jpg","https://pbs.twimg.com/profile_images/877813085142208513/q7UV54Cg_normal.jpg",NA,"1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",NA,FALSE,0,0,FALSE,FALSE,NA,"en"
