"created_at","id","id_str","text","truncated","entities:hashtags","entities:symbols","entities:user_mentions","entities:urls","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:description:urls","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang"
"Thu Aug 10 21:01:54 +0000 2017",895752088512233472,"895752088512233472","Sometimes i really hate the sympathetic part in my personality, i just feel sorry and compassionate for anyone i could think of 🙂💔",FALSE,"()","()","()","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,585925340,"585925340","aws salim","awssalim97","Baghdad - iraq","2nd Stage medical student , iraqi , Bookworm , gamer , compassionate .",NA,"()",FALSE,56,184,0,"Sun May 20 19:27:22 +0000 2012",132,NA,NA,FALSE,FALSE,5206,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/881143306637455360/8c5bVypJ_normal.jpg","https://pbs.twimg.com/profile_images/881143306637455360/8c5bVypJ_normal.jpg","https://pbs.twimg.com/profile_banners/585925340/1456818864","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752088298434562,"895752088298434562","I hate you lmao https://t.co/k9OaM40eyL",FALSE,"()","()","()","((url . https://t.co/k9OaM40eyL) (expanded_url . https://twitter.com/iamtheo_300/status/895729836970442753) (display_url . twitter.com/iamtheo_300/st…) (indices . #(16 39)))","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,596988193,"596988193","blaine ashlei🎈","2blainzz","tx ▶ ca","solid shit doesn't crumble. ♑sjf",NA,"()",FALSE,4396,928,26,"Sat Jun 02 01:54:49 +0000 2012",35396,-14400,"Eastern Time (US & Canada)",TRUE,FALSE,129245,"en",FALSE,FALSE,FALSE,"000000","http://pbs.twimg.com/profile_background_images/606562504647393280/llyFbKuN.jpg","https://pbs.twimg.com/profile_background_images/606562504647393280/llyFbKuN.jpg",FALSE,"http://pbs.twimg.com/profile_images/895407241804820480/dSMbdsHw_normal.jpg","https://pbs.twimg.com/profile_images/895407241804820480/dSMbdsHw_normal.jpg","https://pbs.twimg.com/profile_banners/596988193/1501849478","FFCC4D","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,TRUE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752088038277120,"895752088038277120","@ashIeyallisonn Have you not seen that meme?? And you dont think I know how to spell sweetie? YOU THINK IM DUMB DJSJSJ I actually hate u",FALSE,"()","()","((screen_name . ashIeyallisonn) (name . ashley'17) (id . 2219230369) (id_str . 2219230369) (indices . #(0 15)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",895751898673823745,"895751898673823745",2219230369,"2219230369","ashIeyallisonn",2199823908,"2199823908","mariah","iIIuminatemia","atl • { 935 miles to break }","18 || d4t || aftertaste deserved better btw","https://t.co/uW805XKzS2","()",FALSE,6368,870,72,"Sun Nov 17 16:44:05 +0000 2013",68487,-10800,"Atlantic Time (Canada)",TRUE,FALSE,127235,"en",FALSE,FALSE,FALSE,"642D8B","http://abs.twimg.com/images/themes/theme10/bg.gif","https://abs.twimg.com/images/themes/theme10/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/889673651485855745/KlfFoI7C_normal.jpg","https://pbs.twimg.com/profile_images/889673651485855745/KlfFoI7C_normal.jpg","https://pbs.twimg.com/profile_banners/2199823908/1501900870","FF00CC","65B0DA","7AC3EE","3D1957",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752088034181120,"895752088034181120","RT @TheCosmos_: Oh honey :( Male bees don't pollinate .... he's probably cheating. And he can't even come up with a decent lie?! I hate men…",FALSE,"()","()","((screen_name . TheCosmos_) (name . alli☀️) (id . 239551866) (id_str . 239551866) (indices . #(3 14)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,3137535752,"3137535752","Hay🐳","cory1066","New Palestine, IN","",NA,"()",FALSE,289,567,0,"Fri Apr 03 19:32:49 +0000 2015",1606,NA,NA,FALSE,FALSE,3731,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/883698181556535298/7Uesy4rs_normal.jpg","https://pbs.twimg.com/profile_images/883698181556535298/7Uesy4rs_normal.jpg","https://pbs.twimg.com/profile_banners/3137535752/1498340360","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,TRUE,26733,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752087052701697,"895752087052701697","pLEASE stop making daud sexy it makes me forget i hate him",FALSE,"()","()","()","()","en","recent","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,16577286,"16577286","pro genji","thebedisburning","Madrid","♀ / 💖💜💙 / 🎨☕🎮 / nsfw sometimes / millennial techno-slaughter","https://t.co/wh6SFFZJFp","()",FALSE,399,351,4,"Fri Oct 03 12:58:29 +0000 2008",29771,-7200,"Greenland",TRUE,FALSE,7460,"es",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/891249850314108929/j4Q4AepE_normal.jpg","https://pbs.twimg.com/profile_images/891249850314108929/j4Q4AepE_normal.jpg","https://pbs.twimg.com/profile_banners/16577286/1499887854","F2ABB3","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752086419156992,"895752086419156992","RT @buterajoon: me: i hate everything about myself
bts: #LOVE_YOURSELF 
me: https://t.co/MUYWk7Yjo2",FALSE,"((text . LOVE_YOURSELF) (indices . #(56 70)))","()","((screen_name . buterajoon) (name . ➳ büşra) (id . 1510527919) (id_str . 1510527919) (indices . #(3 14)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,872775910935494656,"872775910935494656","Bwi 🌸","Bngtn_Snyndnn","Philippines 🇵🇭","@BTS_twt, Let's fly with our beautiful wings forever 💕💋",NA,"()",FALSE,470,201,0,"Thu Jun 08 11:22:47 +0000 2017",6769,-25200,"Pacific Time (US & Canada)",TRUE,FALSE,4731,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/891605704645070848/nQHe9oO4_normal.jpg","https://pbs.twimg.com/profile_images/891605704645070848/nQHe9oO4_normal.jpg","https://pbs.twimg.com/profile_banners/872775910935494656/1500449399","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,772,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752085907656705,"895752085907656705","RT @ClutchPointsApp: Timberwolves fans react to new uniforms.

https://t.co/3WpVheaiIF",FALSE,"()","()","((screen_name . ClutchPointsApp) (name . ClutchPoints) (id . 3312776298) (id_str . 3312776298) (indices . #(3 19)))","((url . https://t.co/3WpVheaiIF) (expanded_url . https://clutchpoints.com/timberwolves-news-minnesota-fans-hate-their-new-nike-uniforms/) (display_url . clutchpoints.com/timberwolves-n…) (indices . #(63 86)))","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,3739293141,"3739293141","Blassfem23","blassfem23","","NBA / NFL / Co-Founder 24 Seconds","https://t.co/LqPcxluuJ7","()",FALSE,238,181,20,"Tue Sep 22 13:50:34 +0000 2015",32375,NA,NA,FALSE,FALSE,33007,"fr",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/646321309295767552/nt6IMpJ8_normal.jpg","https://pbs.twimg.com/profile_images/646321309295767552/nt6IMpJ8_normal.jpg","https://pbs.twimg.com/profile_banners/3739293141/1488575904","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,5,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:54 +0000 2017",895752085320286209,"895752085320286209","RT @TheCosmos_: Oh honey :( Male bees don't pollinate .... he's probably cheating. And he can't even come up with a decent lie?! I hate men…",FALSE,"()","()","((screen_name . TheCosmos_) (name . alli☀️) (id . 239551866) (id_str . 239551866) (indices . #(3 14)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,226762523,"226762523","Desirae Nicole ✨","thatkiddez","Whittier","21. 🌹","https://t.co/AwwnqtRA9e","()",FALSE,1619,745,4,"Wed Dec 15 00:49:23 +0000 2010",49134,-28800,"Alaska",TRUE,FALSE,91454,"en",FALSE,FALSE,FALSE,"352726","http://abs.twimg.com/images/themes/theme5/bg.gif","https://abs.twimg.com/images/themes/theme5/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/813316766407397376/Q8zIFgG0_normal.jpg","https://pbs.twimg.com/profile_images/813316766407397376/Q8zIFgG0_normal.jpg","https://pbs.twimg.com/profile_banners/226762523/1500753529","F5ABB5","000000","99CC33","000000",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,TRUE,26733,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:53 +0000 2017",895752084892635137,"895752084892635137","RT @KekePalmer: I hate when I post something and someone says ""who's that for"" uhm EVERYONE BECAUSE EVERYONE IS ANNOYING ASF.",FALSE,"()","()","((screen_name . KekePalmer) (name . 🚨K E K E 🚨) (id . 29860364) (id_str . 29860364) (indices . #(3 14)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,513457469,"513457469","©ourtney","courtneyebelll","","",NA,"()",FALSE,248,429,0,"Sat Mar 03 18:33:09 +0000 2012",3826,NA,NA,FALSE,FALSE,9667,"en",FALSE,FALSE,FALSE,"642D8B","http://abs.twimg.com/images/themes/theme10/bg.gif","https://abs.twimg.com/images/themes/theme10/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/882981665827676162/kSGmJuE7_normal.jpg","https://pbs.twimg.com/profile_images/882981665827676162/kSGmJuE7_normal.jpg","https://pbs.twimg.com/profile_banners/513457469/1494443358","E81CE1","000000","95E8EC","3C3940",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,258,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:53 +0000 2017",895752084825440257,"895752084825440257","RT @chloetatumm: as much as I hate dshs I cannot watch that place get flooded again",FALSE,"()","()","((screen_name . chloetatumm) (name . Chloe Tatum) (id . 1045999872) (id_str . 1045999872) (indices . #(3 15)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,1682019662,"1682019662","Celine","celine20001","sc//@celine20001","Never look back.
❤Basketball",NA,"()",FALSE,265,383,1,"Mon Aug 19 01:07:16 +0000 2013",3142,NA,NA,FALSE,FALSE,4150,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/834624441741148162/8lgv1O9q_normal.jpg","https://pbs.twimg.com/profile_images/834624441741148162/8lgv1O9q_normal.jpg","https://pbs.twimg.com/profile_banners/1682019662/1494600498","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,9,0,FALSE,FALSE,"en"
