"created_at","id","id_str","text","truncated","entities:hashtags","entities:symbols","entities:user_mentions:screen_name","entities:user_mentions:name","entities:user_mentions:id","entities:user_mentions:id_str","entities:user_mentions:indices","entities:urls","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:url:urls:url","user:entities:url:urls:expanded_url","user:entities:url:urls:display_url","user:entities:url:urls:indices","user:entities:description:urls:url","user:entities:description:urls:expanded_url","user:entities:description:urls:display_url","user:entities:description:urls:indices","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","retweeted_status:created_at","retweeted_status:id","retweeted_status:id_str","retweeted_status:text","retweeted_status:truncated","retweeted_status:entities:hashtags","retweeted_status:entities:symbols","retweeted_status:entities:user_mentions:screen_name","retweeted_status:entities:user_mentions:name","retweeted_status:entities:user_mentions:id","retweeted_status:entities:user_mentions:id_str","retweeted_status:entities:user_mentions:indices","retweeted_status:entities:urls","retweeted_status:metadata:iso_language_code","retweeted_status:metadata:result_type","retweeted_status:source","retweeted_status:in_reply_to_status_id","retweeted_status:in_reply_to_status_id_str","retweeted_status:in_reply_to_user_id","retweeted_status:in_reply_to_user_id_str","retweeted_status:in_reply_to_screen_name","retweeted_status:user:id","retweeted_status:user:id_str","retweeted_status:user:name","retweeted_status:user:screen_name","retweeted_status:user:location","retweeted_status:user:description","retweeted_status:user:url","retweeted_status:user:entities:description:urls","retweeted_status:user:protected","retweeted_status:user:followers_count","retweeted_status:user:friends_count","retweeted_status:user:listed_count","retweeted_status:user:created_at","retweeted_status:user:favourites_count","retweeted_status:user:utc_offset","retweeted_status:user:time_zone","retweeted_status:user:geo_enabled","retweeted_status:user:verified","retweeted_status:user:statuses_count","retweeted_status:user:lang","retweeted_status:user:contributors_enabled","retweeted_status:user:is_translator","retweeted_status:user:is_translation_enabled","retweeted_status:user:profile_background_color","retweeted_status:user:profile_background_image_url","retweeted_status:user:profile_background_image_url_https","retweeted_status:user:profile_background_tile","retweeted_status:user:profile_image_url","retweeted_status:user:profile_image_url_https","retweeted_status:user:profile_link_color","retweeted_status:user:profile_sidebar_border_color","retweeted_status:user:profile_sidebar_fill_color","retweeted_status:user:profile_text_color","retweeted_status:user:profile_use_background_image","retweeted_status:user:has_extended_profile","retweeted_status:user:default_profile","retweeted_status:user:default_profile_image","retweeted_status:user:following","retweeted_status:user:follow_request_sent","retweeted_status:user:notifications","retweeted_status:user:translator_type","retweeted_status:geo","retweeted_status:coordinates","retweeted_status:place","retweeted_status:contributors","retweeted_status:is_quote_status","retweeted_status:retweet_count","retweeted_status:favorite_count","retweeted_status:favorited","retweeted_status:retweeted","retweeted_status:lang","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang"
"Thu Aug 10 21:01:42 +0000 2017",895752036599418881,"895752036599418881","RT @vocal_stand: @gangwolf360 @NnadiArts1 I absolutely love ur art ..it is truly fascinating ❗️",FALSE,"()","()","vocal_stand","Ja Real",2298814422,"2298814422","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,574709417,"574709417","Olaloye Bunmi  🎨","gangwolf360","Port Harcourt, Nigeria","Nigerian. Self-Taught Artist. Gamer. Art Addict. Innovator. Dreamer. Nature Lover. Wannabe Ninja.
Insta:https://t.co/lQy6JWu4jY  FB: https://t.co/mBUtxhFLsV","https://t.co/dB1rN4YJZB","https://t.co/dB1rN4YJZB","http://gangwolf360.deviantart.com/","gangwolf360.deviantart.com","0","https://t.co/lQy6JWu4jY","http://instagram.com/gangwolf36/","instagram.com/gangwolf36/","104",FALSE,19965,17368,490,"Tue May 08 19:00:09 +0000 2012",54981,-25200,"Pacific Time (US & Canada)",FALSE,FALSE,43445,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/830376292902133760/F2kTnYZd_normal.jpg","https://pbs.twimg.com/profile_images/830376292902133760/F2kTnYZd_normal.jpg","https://pbs.twimg.com/profile_banners/574709417/1495491452","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Thu Aug 03 00:06:00 +0000 2017",892899312878764033,"892899312878764033","@gangwolf360 @NnadiArts1 I absolutely love ur art ..it is truly fascinating ❗️",FALSE,"()","()","gangwolf360","Olaloye Bunmi  🎨",574709417,"574709417","0","()","en","recent","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",880816092222042113,"880816092222042113",574709417,"574709417","gangwolf360",2298814422,"2298814422","Ja Real","vocal_stand","","""One's Own Opinion"" **Vocal about Injustice and Corruption** **Five Fingers Balled Tight And Upright ** JUSTICE❗**",NA,"()",FALSE,25,16,2,"Sun Jan 19 02:14:25 +0000 2014",441,NA,NA,FALSE,FALSE,658,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/427572606133235713/qsT0BE1x_normal.jpeg","https://pbs.twimg.com/profile_images/427572606133235713/qsT0BE1x_normal.jpeg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,2,3,FALSE,FALSE,"en",FALSE,2,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752036494577664,"895752036494577664","RT @LebzaTheVillain: SOUTH AFRICA 🇿🇦 I LOVE YOU 🤣😂 https://t.co/7V27LRlxcR",FALSE,"()","()","LebzaTheVillain","#NightOfTheVillain",240167755,"240167755","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,1540609754,"1540609754","The Chubby Ninja🈶🈂","BUGAdAdJ","SOUTH AFRICA","DJ/Producer -|Π°Π|- V/O Artist -|Π°Π|- Music Composer -|Π°Π|- CEO of HMC. 

Email:Bugadadj@gmail.com
 FB:Tebogo Buga Teboho
 I.G:Buga_Da_Dj14",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,539,586,5,"Sun Jun 23 09:56:02 +0000 2013",2725,NA,NA,TRUE,FALSE,3712,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/890835118763495425/Mg2CJR0A_normal.jpg","https://pbs.twimg.com/profile_images/890835118763495425/Mg2CJR0A_normal.jpg","https://pbs.twimg.com/profile_banners/1540609754/1499859339","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Thu Aug 10 16:46:11 +0000 2017",895687731942240256,"895687731942240256","SOUTH AFRICA 🇿🇦 I LOVE YOU 🤣😂 https://t.co/7V27LRlxcR",FALSE,"()","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,240167755,"240167755","#NightOfTheVillain","LebzaTheVillain","Where Music lives","#YTKO Friday Mix DJ on @YFM bookings: info@LebzaTheVillain.co.za 076 057 5052 Je suis un DJ Sud African, Music Producer #RadioSnap Mr YEBO","https://t.co/ehbdzkXND8","()",FALSE,7280,1397,15,"Wed Jan 19 09:17:35 +0000 2011",588,-7200,"Greenland",TRUE,FALSE,19740,"en",FALSE,FALSE,FALSE,"131516","http://pbs.twimg.com/profile_background_images/617027658174582784/1RoN0ROr.jpg","https://pbs.twimg.com/profile_background_images/617027658174582784/1RoN0ROr.jpg",TRUE,"http://pbs.twimg.com/profile_images/884817992500072448/Y1XdUj2U_normal.jpg","https://pbs.twimg.com/profile_images/884817992500072448/Y1XdUj2U_normal.jpg","009999","FFFFFF","DDEEF6","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,((id . 46c1b1ab24d7e11a) (url . https://api.twitter.com/1.1/geo/id/46c1b1ab24d7e11a.json) (place_type . city) (name . Midrand) (full_name . Midrand, South Africa) (country_code . ZA) (country . South Africa) (contained_within . #()) (bounding_box (type . Polygon) (coordinates . #(#(#(28.0140761 -26.0572574) #(28.1930256 -26.0572574) #(28.1930256 -25.9195514) #(28.0140761 -25.9195514))))) (attributes)),NA,FALSE,382,435,FALSE,FALSE,"en",FALSE,382,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752036402307072,"895752036402307072","RT @bangtan_system: Please, ARMY remember what we say, love myself, love yourself. https://t.co/vRvvti0mV8",FALSE,"()","()","bangtan_system","방탄 시스템",4237074254,"4237074254","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,2668623341,"2668623341","seokjin","jesysuga","italy","little mix & kpop // destine with the moon at night @havanathirls","https://t.co/jwyOlfYuRn","https://t.co/jwyOlfYuRn","http://instagram.com/leigheeele","instagram.com/leigheeele","0",NA,NA,NA,NA,FALSE,3365,2942,20,"Thu Jul 03 17:30:54 +0000 2014",18148,-25200,"Pacific Time (US & Canada)",FALSE,FALSE,20503,"it",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/895750686213885952/3QYX8qR5_normal.jpg","https://pbs.twimg.com/profile_images/895750686213885952/3QYX8qR5_normal.jpg","https://pbs.twimg.com/profile_banners/2668623341/1502111472","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Thu Aug 10 15:42:29 +0000 2017",895671702478127105,"895671702478127105","Please, ARMY remember what we say, love myself, love yourself. https://t.co/vRvvti0mV8",FALSE,"()","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,4237074254,"4237074254","방탄 시스템","bangtan_system","다운로드 및 백업용 개인 계정","",NA,"()",FALSE,85095,1,527,"Sat Nov 14 18:09:43 +0000 2015",951,-25200,"Pacific Time (US & Canada)",FALSE,FALSE,2120,"ko",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/763062969320153088/UcIWqoTb_normal.jpg","https://pbs.twimg.com/profile_images/763062969320153088/UcIWqoTb_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,2184,1694,FALSE,FALSE,"en",FALSE,2184,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752036268068864,"895752036268068864","@Camila_Cabello I'm so happy and so proud of you ! Love you forever ❤😇",FALSE,"()","()","Camila_Cabello","camila",739784130,"739784130","0","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",895489801226510336,"895489801226510336",739784130,"739784130","Camila_Cabello",839910071815581701,"839910071815581701","Judit!!🤘","onedirectiooon0","","🐝🐝🐝🐝🐝",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,14,25,0,"Thu Mar 09 18:45:40 +0000 2017",98,NA,NA,FALSE,FALSE,114,"es",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/894296816388276227/vc09NHRk_normal.jpg","https://pbs.twimg.com/profile_images/894296816388276227/vc09NHRk_normal.jpg","https://pbs.twimg.com/profile_banners/839910071815581701/1499953414","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752036263710720,"895752036263710720","RT @ajtracey: thats a deeper love i dont think any girl could handle from a guy 🤞🏽💕🎒 https://t.co/5v9Iew5GhL",FALSE,"()","()","ajtracey","AJ Tracey",318056870,"318056870","3","((url . https://t.co/5v9Iew5GhL) (expanded_url . https://twitter.com/aaqilahhhh/status/895418550319493121) (display_url . twitter.com/aaqilahhhh/sta…) (indices . #(85 108)))","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,565606021,"565606021","jess x","JessicaHooker3","London, England","18 | always a way x SC: jesshooks","https://t.co/3sAYN4WoCk","https://t.co/3sAYN4WoCk","http://www.instagram.com/_jesshooks/","instagram.com/_jesshooks/","0",NA,NA,NA,NA,FALSE,765,581,0,"Sat Apr 28 17:27:43 +0000 2012",22481,NA,NA,FALSE,FALSE,11480,"en",FALSE,FALSE,FALSE,"DBE9ED","http://pbs.twimg.com/profile_background_images/451441744765153283/bhk1UirY.jpeg","https://pbs.twimg.com/profile_background_images/451441744765153283/bhk1UirY.jpeg",TRUE,"http://pbs.twimg.com/profile_images/895684312833576961/S0wpqUru_normal.jpg","https://pbs.twimg.com/profile_images/895684312833576961/S0wpqUru_normal.jpg","https://pbs.twimg.com/profile_banners/565606021/1502002254","CC3366","FFFFFF","DDEEF6","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Thu Aug 10 09:17:20 +0000 2017",895574777292881920,"895574777292881920","thats a deeper love i dont think any girl could handle from a guy 🤞🏽💕🎒 https://t.co/5v9Iew5GhL",FALSE,"()","()",NA,NA,NA,NA,NA,"((url . https://t.co/5v9Iew5GhL) (expanded_url . https://twitter.com/aaqilahhhh/status/895418550319493121) (display_url . twitter.com/aaqilahhhh/sta…) (indices . #(71 94)))","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,318056870,"318056870","AJ Tracey","ajtracey","global","young master of ceremonies 🎒","https://t.co/y5nVLlR2vM","()",FALSE,131903,32,91,"Wed Jun 15 22:08:37 +0000 2011",614,3600,"London",TRUE,TRUE,637,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png",FALSE,"http://pbs.twimg.com/profile_images/892571331438555138/zZxZCJSF_normal.jpg","https://pbs.twimg.com/profile_images/892571331438555138/zZxZCJSF_normal.jpg","000000","000000","DDEEF6","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,TRUE,398,1693,FALSE,FALSE,"en",TRUE,398,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752036234428417,"895752036234428417","4. I love this with all my heart https://t.co/4IOJJSoBFp",FALSE,"()","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",895751665307062273,"895751665307062273",1029901975,"1029901975","makattack98",1029901975,"1029901975","Makena Wolcott","makattack98","Not all superheros wear capes","Life is getting so strange, I'd like to tell you everything I see | Giving what I can and learning who I am. | MSU 2020 | Sketch you later!","https://t.co/2Lct90tSmf","https://t.co/2Lct90tSmf","https://youtu.be/Ljik3zsGNF4","youtu.be/Ljik3zsGNF4","0",NA,NA,NA,NA,FALSE,864,1570,15,"Sun Dec 23 05:06:58 +0000 2012",123600,-25200,"Pacific Time (US & Canada)",TRUE,FALSE,23693,"en",FALSE,FALSE,FALSE,"0099B9","http://abs.twimg.com/images/themes/theme4/bg.gif","https://abs.twimg.com/images/themes/theme4/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/890791456541032448/bmRfYoUK_normal.jpg","https://pbs.twimg.com/profile_images/890791456541032448/bmRfYoUK_normal.jpg","https://pbs.twimg.com/profile_banners/1029901975/1497930076","FF691F","5ED4DC","95E8EC","3C3940",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752036012175360,"895752036012175360","@baekschub let me love dk as much as you love bAEK",FALSE,"()","()","baekschub","loli!!🌿",717927031200202752,"717927031200202752","0","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",895748841093332993,"895748841093332993",717927031200202752,"717927031200202752","baekschub",820693459774410752,"820693459774410752","nati 🥀","sehseokmin","spanglish speaker","lets stay up all night | multifandom","https://t.co/WxD2ZYZb7X","https://t.co/WxD2ZYZb7X","http://Instagram.com/sehseokmin","Instagram.com/sehseokmin","0",NA,NA,NA,NA,FALSE,192,458,1,"Sun Jan 15 18:05:43 +0000 2017",13407,-25200,"Pacific Time (US & Canada)",FALSE,FALSE,10005,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/894802706862362625/yzriYW-p_normal.jpg","https://pbs.twimg.com/profile_images/894802706862362625/yzriYW-p_normal.jpg","https://pbs.twimg.com/profile_banners/820693459774410752/1502172566","F58EA8","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752035995451393,"895752035995451393","RT @russdiemon: People get so mad when you love yourself lol",FALSE,"()","()","russdiemon","Russ",235833507,"235833507","3","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,522761873,"522761873","Alex🥀","alexxthelord","Houston, TX","Heartthrob | #TAMU19 | snapchat: alex_quintana | Petroleum Engineering - Geophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1185,429,13,"Tue Mar 13 01:34:35 +0000 2012",67144,-14400,"Eastern Time (US & Canada)",FALSE,FALSE,47778,"en",FALSE,FALSE,FALSE,"131516","http://pbs.twimg.com/profile_background_images/378800000163761693/i0rD84iW.jpeg","https://pbs.twimg.com/profile_background_images/378800000163761693/i0rD84iW.jpeg",TRUE,"http://pbs.twimg.com/profile_images/870801221157769216/nB4NKR5z_normal.jpg","https://pbs.twimg.com/profile_images/870801221157769216/nB4NKR5z_normal.jpg","https://pbs.twimg.com/profile_banners/522761873/1485917168","F58EA8","000000","DDEEF6","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Wed Aug 09 17:04:25 +0000 2017",895329933181960193,"895329933181960193","People get so mad when you love yourself lol",FALSE,"()","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,235833507,"235833507","Russ","russdiemon","","DEBUT ALBUM https://t.co/vSd2ynSdOZ","https://t.co/DPGb1JR8Bq","((url . https://t.co/vSd2ynSdOZ) (expanded_url . https://itun.es/us/bNLhjb) (display_url . itun.es/us/bNLhjb) (indices . #(12 35)))",FALSE,731572,182,617,"Sun Jan 09 05:17:56 +0000 2011",61671,-14400,"Eastern Time (US & Canada)",TRUE,TRUE,35720,"en",FALSE,FALSE,FALSE,"3D4040","http://pbs.twimg.com/profile_background_images/458095510214021120/Zuy8UZSr.jpeg","https://pbs.twimg.com/profile_background_images/458095510214021120/Zuy8UZSr.jpeg",FALSE,"http://pbs.twimg.com/profile_images/854780583364493312/xsqsmPE-_normal.jpg","https://pbs.twimg.com/profile_images/854780583364493312/xsqsmPE-_normal.jpg","2B8F56","FFFFFF","3D4040","2B8F56",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,36243,68814,FALSE,FALSE,"en",FALSE,36243,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752035953500164,"895752035953500164","RT @FloWrestling: ""Where's he at now? I don't know."" Thomas Gilman sounds off on ""flapgate"" in Love Me or Hate Me. -&gt; https://t.co/0lkDmink…",FALSE,"()","()","FloWrestling","FloWrestling",18174186,"18174186","3","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,3199038807,"3199038807","Mike O'Horo","mikeohoro44","","Follower of Christ. (Football | Wrestling).  ________Boardman QB #8🚾🅱️. _____class of 2019","https://t.co/dEDK5eoRHc","https://t.co/dEDK5eoRHc","http://www.hudl.com/v/1JBUWr","hudl.com/v/1JBUWr","0",NA,NA,NA,NA,FALSE,634,582,2,"Thu Apr 23 20:44:24 +0000 2015",8459,NA,NA,FALSE,FALSE,4249,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/771790618364407808/cOMXgalv_normal.jpg","https://pbs.twimg.com/profile_images/771790618364407808/cOMXgalv_normal.jpg","https://pbs.twimg.com/profile_banners/3199038807/1477877628","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Thu Aug 10 18:06:17 +0000 2017",895707890979266563,"895707890979266563","""Where's he at now? I don't know."" Thomas Gilman sounds off on ""flapgate"" in Love Me or Hate Me. -&gt;… https://t.co/BYrkiHyhRC",TRUE,"()","()",NA,NA,NA,NA,NA,"((url . https://t.co/BYrkiHyhRC) (expanded_url . https://twitter.com/i/web/status/895707890979266563) (display_url . twitter.com/i/web/status/8…) (indices . #(104 127)))","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,18174186,"18174186","FloWrestling","FloWrestling","Austin, TX","Traveling the world bringing the latest & greatest wrestling match coverage, interviews, articles & resources you can't get anywhere else. Powered by @FloSports","https://t.co/broU5GeG7t","()",FALSE,121651,625,405,"Tue Dec 16 22:03:44 +0000 2008",4788,-18000,"Central Time (US & Canada)",TRUE,TRUE,62929,"en",FALSE,FALSE,FALSE,"FFFFFF","http://pbs.twimg.com/profile_background_images/577519296592494592/C94SSPOA.jpeg","https://pbs.twimg.com/profile_background_images/577519296592494592/C94SSPOA.jpeg",FALSE,"http://pbs.twimg.com/profile_images/885981400406609921/wWHXpAYu_normal.jpg","https://pbs.twimg.com/profile_images/885981400406609921/wWHXpAYu_normal.jpg","84BD00","FFFFFF","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,73,225,FALSE,FALSE,"en",FALSE,73,0,FALSE,FALSE,"en"
"Thu Aug 10 21:01:42 +0000 2017",895752035911553024,"895752035911553024","RT @ultpcysobi: Attacking BTS' on their awareness to real life issues is why idols stick to catchy songs than bring awareness to issues #LO…",FALSE,"()","()","ultpcysobi","Izzy🌞 VOTE BTS",1957826269,"1957826269","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,866386997790879746,"866386997790879746","에밀리♥","emy_velaz","BEYOND THE SCENE ","YOU CAN PROBABLY TELL I'M BTS TRASH♡",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,46,132,0,"Sun May 21 20:15:31 +0000 2017",3710,NA,NA,FALSE,FALSE,710,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/889419167434252292/4Fvt5-fw_normal.jpg","https://pbs.twimg.com/profile_images/889419167434252292/4Fvt5-fw_normal.jpg","https://pbs.twimg.com/profile_banners/866386997790879746/1500474971","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Thu Aug 10 17:58:32 +0000 2017",895705940866891776,"895705940866891776","Attacking BTS' on their awareness to real life issues is why idols stick to catchy songs than bring awareness to issues #LOVE_YOURSELF",FALSE,"((text . LOVE_YOURSELF) (indices . #(120 134)))","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,1957826269,"1957826269","Izzy🌞 VOTE BTS","ultpcysobi","YOONSEOK'S&CHANYEOL'S HEART","I Stan kings/Legends in the making. HOSEOK❤ #BLM",NA,"()",FALSE,50869,18884,212,"Sun Oct 13 01:42:12 +0000 2013",104992,NA,NA,TRUE,FALSE,116224,"en",FALSE,FALSE,FALSE,"C0DEED","http://pbs.twimg.com/profile_background_images/378800000177955564/w9fKLoON.png","https://pbs.twimg.com/profile_background_images/378800000177955564/w9fKLoON.png",TRUE,"http://pbs.twimg.com/profile_images/893680861609984001/Rgn2EB29_normal.jpg","https://pbs.twimg.com/profile_images/893680861609984001/Rgn2EB29_normal.jpg","0084B4","FFFFFF","DDEEF6","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,1333,2102,FALSE,FALSE,"en",FALSE,1333,0,FALSE,FALSE,"en"
